block,band,window,family,start,end,dims
0,theta,early,logP,0,17,18
0,theta,early,tangent,18,188,171
0,theta,early,graph,189,197,9
1,theta,late,logP,198,215,18
1,theta,late,tangent,216,386,171
1,theta,late,graph,387,395,9
2,alpha,early,logP,396,413,18
2,alpha,early,tangent,414,584,171
2,alpha,early,graph,585,593,9
3,alpha,late,logP,594,611,18
3,alpha,late,tangent,612,782,171
3,alpha,late,graph,783,791,9
4,beta,early,logP,792,809,18
4,beta,early,tangent,810,980,171
4,beta,early,graph,981,989,9
5,beta,late,logP,990,1007,18
5,beta,late,tangent,1008,1178,171
5,beta,late,graph,1179,1187,9
6,lgamma,early,logP,1188,1205,18
6,lgamma,early,tangent,1206,1376,171
6,lgamma,early,graph,1377,1385,9
7,lgamma,late,logP,1386,1403,18
7,lgamma,late,tangent,1404,1574,171
7,lgamma,late,graph,1575,1583,9
dynamic,theta,late-early,dynamic,1584,1601,18
dynamic,alpha,late-early,dynamic,1602,1619,18
dynamic,beta,late-early,dynamic,1620,1637,18
dynamic,lgamma,late-early,dynamic,1638,1655,18
