participant,sampling_rate_hz,channels,samples_per_trial,train_trials_raw,train_trials_retained,train_trials_removed_severe,train_trials_flagged_any,validation_trials_raw,validation_trials_retained,validation_trials_flagged_winsorised_only,test_trials_raw,test_trials_retained,train_retained_hello,train_retained_help_me,train_retained_stop,train_retained_thank_you,train_retained_yes,threshold_quantile_effective,threshold_max_abs,threshold_p99_abs,threshold_rms,threshold_drift,line_noise_ratio_60Hz_before,line_noise_ratio_60Hz_after,line_noise_ratio_50Hz_before,line_noise_ratio_50Hz_after
Data_Sample01,256,64,513,300,300,0,6,50,50,2,50,50,60,60,60,60,60,0.993333,641.4185,263.3031,76.7562,32.5229,0.139171,0.00105838,0.00989145,0.0167932
Data_Sample02,256,64,513,300,300,0,5,50,50,0,50,50,60,60,60,60,60,0.993333,860.1361,699.9806,169.1851,44.2071,0.150346,8.65684e-05,0.00109788,0.00112047
Data_Sample03,256,64,513,300,300,0,8,50,50,1,50,50,60,60,60,60,60,0.993333,794.0633,669.8003,163.3436,31.6244,0.766867,0.00266482,0.0161534,0.0183657
Data_Sample04,256,64,513,300,300,0,7,50,50,0,50,50,60,60,60,60,60,0.993333,1608.2814,1215.4335,436.1114,117.7748,0.759423,0.00101578,0.00455496,0.00963778
Data_Sample05,256,64,513,300,300,0,16,50,50,1,50,50,60,60,60,60,60,0.993333,554.4857,407.8942,102.0487,28.2257,0.488393,0.000951543,0.00557971,0.00999071
Data_Sample06,256,64,513,300,300,0,9,50,50,0,50,50,60,60,60,60,60,0.993333,3273.8252,2244.2582,426.2063,162.2848,0.604251,0.00204279,0.00682315,0.0104809
Data_Sample07,256,64,513,300,300,0,8,50,50,4,50,50,60,60,60,60,60,0.993333,2029.3796,1403.3352,325.4199,112.4551,0.376291,0.000266411,0.00286535,0.00226781
Data_Sample08,256,64,513,300,300,0,12,50,50,8,50,50,60,60,60,60,60,0.993333,975.275,870.9848,384.4459,162.2736,1.31102,0.00154217,0.00822991,0.0133907
Data_Sample09,256,64,513,300,300,0,16,50,50,3,50,50,60,60,60,60,60,0.993333,1474.182,776.3785,134.2555,69.1661,0.788135,0.00381329,0.0214804,0.034779
Data_Sample10,256,64,513,300,300,0,5,50,50,0,50,50,60,60,60,60,60,0.993333,1784.8538,1276.2099,341.2839,269.6141,0.14306,0.00218511,0.00676394,0.013621
Data_Sample11,256,64,513,300,300,0,24,50,50,6,50,50,60,60,60,60,60,0.993333,2164.8953,1655.9413,437.3184,120.9967,0.274294,0.00152927,0.00870671,0.011689
Data_Sample12,256,64,513,300,300,0,5,50,50,1,50,50,60,60,60,60,60,0.993333,844.3923,432.3139,106.5734,35.67,0.895036,0.00339379,0.00611054,0.0110006
Data_Sample13,256,64,513,300,300,0,7,50,50,1,50,50,60,60,60,60,60,0.993333,4466.8944,3503.9807,1137.002,966.8232,3.26797,0.000815765,0.00359097,0.00671285
Data_Sample14,256,64,513,300,297,3,10,50,50,0,50,50,60,60,60,60,57,0.993266,2674.3391,2072.7392,577.79,424.6496,0.437178,0.000556078,0.00447595,0.00487849
Data_Sample15,256,64,513,300,300,0,9,50,50,5,50,50,60,60,60,60,60,0.993333,1420.9793,1175.8216,241.1117,69.0447,0.186267,0.00113104,0.00532908,0.00915532
