subject,macro_f1,method
S01,0.32443667443667445,Raw EEG
S02,0.11976911976911978,Raw EEG
S03,0.2448133153396311,Raw EEG
S04,0.28192374401034775,Raw EEG
S05,0.36112085769980506,Raw EEG
S06,0.24569058392587806,Raw EEG
S07,0.23913674560733383,Raw EEG
S08,0.1923232323232323,Raw EEG
S09,0.21110526315789477,Raw EEG
S10,0.225303392259914,Raw EEG
S11,0.3328095238095238,Raw EEG
S12,0.38003387049826676,Raw EEG
S13,0.2663170163170163,Raw EEG
S14,0.24103318250377073,Raw EEG
S15,0.2664075907042659,Raw EEG
S01,0.3711486861951258,Proposed fusion
S02,0.2290637775211278,Proposed fusion
S03,0.41101885730368704,Proposed fusion
S04,0.23739926739926737,Proposed fusion
S05,0.32436633414894284,Proposed fusion
S06,0.2660597881650513,Proposed fusion
S07,0.30142857142857143,Proposed fusion
S08,0.27692895339954166,Proposed fusion
S09,0.3464285714285714,Proposed fusion
S10,0.24785121255709494,Proposed fusion
S11,0.371421568627451,Proposed fusion
S12,0.3175867269984917,Proposed fusion
S13,0.28170807453416147,Proposed fusion
S14,0.15114192129941223,Proposed fusion
S15,0.31419607843137254,Proposed fusion
S01,0.3807407407407407,REVE LP
S02,0.1601201201201201,REVE LP
S03,0.2966431131592421,REVE LP
S04,0.3985714285714286,REVE LP
S05,0.3659573742540494,REVE LP
S06,0.2216911217437533,REVE LP
S07,0.2442016806722688,REVE LP
S08,0.256390977443609,REVE LP
S09,0.1768707482993197,REVE LP
S10,0.2144332525819202,REVE LP
S11,0.3035506413091552,REVE LP
S12,0.3117521367521367,REVE LP
S13,0.2091008655714538,REVE LP
S14,0.2754500401559225,REVE LP
S15,0.3743467059256533,REVE LP
S01,0.3593897787948131,REVE LoRA
S02,0.1380952380952381,REVE LoRA
S03,0.3143406904357668,REVE LoRA
S04,0.3962121212121212,REVE LoRA
S05,0.4523360378634212,REVE LoRA
S06,0.2129464325776076,REVE LoRA
S07,0.2442016806722688,REVE LoRA
S08,0.273015873015873,REVE LoRA
S09,0.1768707482993197,REVE LoRA
S10,0.2144332525819202,REVE LoRA
S11,0.2804795947086969,REVE LoRA
S12,0.3244781783681214,REVE LoRA
S13,0.2091008655714538,REVE LoRA
S14,0.3058090145148969,REVE LoRA
S15,0.3570280246069719,REVE LoRA
S01,0.2998881987577639,Graph comparator
S02,0.2502164502164502,Graph comparator
S03,0.2795298251052727,Graph comparator
S04,0.3494456352041492,Graph comparator
S05,0.2732175265750583,Graph comparator
S06,0.221872242413365,Graph comparator
S07,0.1347459557985874,Graph comparator
S08,0.3749360613810741,Graph comparator
S09,0.3398383838383839,Graph comparator
S10,0.2100414078674948,Graph comparator
S11,0.1599206349206349,Graph comparator
S12,0.3078524743230625,Graph comparator
S13,0.20739362341193,Graph comparator
S14,0.2835588972431077,Graph comparator
S15,0.2605451359287676,Graph comparator
