subject,sid,raw_valid_f1,fusion_valid_f1,raw_test_f1,fusion_test_f1,raw_test_acc,fusion_test_acc,delta
S01,1,0.5290118577075098,0.5775845410628019,0.32443667443667445,0.3711486861951258,0.32,0.36,0.046712011758451355
S02,2,0.2422222222222222,0.3353650793650793,0.11976911976911978,0.2290637775211278,0.12,0.24,0.10929465775200803
S03,3,0.367781954887218,0.4650957459006995,0.2448133153396311,0.41101885730368704,0.26,0.42,0.16620554196405593
S04,4,0.514328173374613,0.6608695652173913,0.28192374401034775,0.23739926739926737,0.3,0.26,-0.04452447661108039
S05,5,0.4294491112602568,0.5903333333333334,0.36112085769980506,0.32436633414894284,0.36,0.34,-0.03675452355086223
S06,6,0.3703149177291053,0.3769824946295535,0.24569058392587806,0.2660597881650513,0.26,0.26,0.020369204239173266
S07,7,0.34838665290677673,0.3993316624895572,0.23913674560733383,0.30142857142857143,0.26,0.32,0.0622918258212376
S08,8,0.4654123654123654,0.5474509803921569,0.1923232323232323,0.27692895339954166,0.2,0.28,0.08460572107630934
S09,9,0.3967893217893218,0.46366066681856155,0.21110526315789477,0.3464285714285714,0.22,0.36,0.13532330827067665
S10,10,0.38826271767448234,0.5048538011695907,0.225303392259914,0.24785121255709494,0.22,0.28,0.022547820297180943
S11,11,0.4109298245614035,0.43567460317460316,0.3328095238095238,0.371421568627451,0.34,0.38,0.03861204481792724
S12,12,0.4966225412014886,0.6319408922989486,0.38003387049826676,0.3175867269984917,0.38,0.32,-0.06244714349977504
S13,13,0.33021950563179947,0.39877616747181965,0.2663170163170163,0.28170807453416147,0.28,0.28,0.015391058217145148
S14,14,0.2769047619047619,0.42857142857142855,0.24103318250377073,0.15114192129941223,0.24,0.16,-0.0898912612043585
S15,15,0.4155400155400155,0.49552101597868187,0.2664075907042659,0.31419607843137254,0.28,0.32,0.04778848772710664
