subject,block,accuracy,macro_f1,macro_precision,macro_sensitivity,macro_specificity,dimensions
Data_Sample01,Full_MDRG,0.44,0.4390217367771547,0.46785714285714286,0.44000000000000006,0.86,1656
Data_Sample01,Riemannian_Graph,0.42,0.4219803921568627,0.45499999999999996,0.42000000000000004,0.8550000000000001,1440
Data_Sample01,Spectral_Dynamic_Riemannian,0.36,0.3511345006229917,0.3668040293040293,0.36,0.8400000000000001,1584
Data_Sample01,Riemannian,0.48,0.4817988064791134,0.503021978021978,0.48,0.8700000000000001,1368
Data_Sample01,Static_Spectral,0.36,0.3552368132607734,0.35923409923409927,0.36,0.8400000000000001,144
Data_Sample01,Spectral_Dynamic,0.36,0.3552368132607734,0.35923409923409927,0.36,0.8400000000000001,216
Data_Sample01,Dynamic,0.28,0.2766925231631114,0.29017316017316014,0.27999999999999997,0.82,72
Data_Sample01,Spectral_Dynamic_Graph,0.34,0.33784550891294735,0.34384948384948383,0.33999999999999997,0.835,288
Data_Sample01,Graph,0.2,0.18836507936507937,0.1862121212121212,0.2,0.8,72
Data_Sample02,Full_MDRG,0.24,0.21916159567275187,0.21620300751879698,0.24000000000000005,0.8099999999999999,1656
Data_Sample02,Riemannian_Graph,0.24,0.21113723441309648,0.2026315789473684,0.24000000000000005,0.8100000000000002,1440
Data_Sample02,Spectral_Dynamic_Riemannian,0.26,0.24059290382819798,0.2401875901875902,0.26,0.8149999999999998,1584
Data_Sample02,Riemannian,0.26,0.2430822273701531,0.23968253968253966,0.26,0.8150000000000001,1368
Data_Sample02,Static_Spectral,0.12,0.10555555555555556,0.09642857142857143,0.12,0.78,144
Data_Sample02,Spectral_Dynamic,0.12,0.11625668449197861,0.11523809523809522,0.12000000000000002,0.78,216
Data_Sample02,Dynamic,0.18,0.17300695744631672,0.16965811965811967,0.18000000000000002,0.795,72
Data_Sample02,Spectral_Dynamic_Graph,0.18,0.1579757085020243,0.14472222222222222,0.18,0.795,288
Data_Sample02,Graph,0.18,0.18724082934609249,0.20317460317460317,0.18,0.7949999999999999,72
Data_Sample03,Full_MDRG,0.36,0.3545864661654135,0.3674458874458874,0.36,0.8400000000000001,1656
Data_Sample03,Riemannian_Graph,0.36,0.36298245614035085,0.3834632034632034,0.36,0.8400000000000001,1440
Data_Sample03,Spectral_Dynamic_Riemannian,0.34,0.33696741854636586,0.345021645021645,0.34,0.835,1584
Data_Sample03,Riemannian,0.34,0.3274656502917372,0.3244172494172494,0.34,0.835,1368
Data_Sample03,Static_Spectral,0.32,0.2833221850613155,0.26730769230769236,0.32,0.8299999999999998,144
Data_Sample03,Spectral_Dynamic,0.36,0.35757575757575755,0.3654761904761905,0.36000000000000004,0.8400000000000001,216
Data_Sample03,Dynamic,0.26,0.26215102974828375,0.26632478632478634,0.26,0.8150000000000001,72
Data_Sample03,Spectral_Dynamic_Graph,0.44,0.44653594771241834,0.46952380952380957,0.44000000000000006,0.86,288
Data_Sample03,Graph,0.44,0.4523015873015873,0.4910606060606061,0.44000000000000006,0.86,72
Data_Sample04,Full_MDRG,0.3,0.251501219087426,0.22535087719298247,0.3,0.825,1656
Data_Sample04,Riemannian_Graph,0.32,0.26883753501400565,0.26796536796536796,0.32,0.8299999999999998,1440
Data_Sample04,Spectral_Dynamic_Riemannian,0.3,0.2768253968253968,0.2621212121212121,0.3,0.825,1584
Data_Sample04,Riemannian,0.28,0.25841269841269837,0.24439393939393939,0.27999999999999997,0.82,1368
Data_Sample04,Static_Spectral,0.32,0.3078509553741752,0.3063492063492063,0.31999999999999995,0.8300000000000001,144
Data_Sample04,Spectral_Dynamic,0.34,0.31333333333333335,0.3196969696969697,0.33999999999999997,0.8350000000000002,216
Data_Sample04,Dynamic,0.26,0.26707946336429306,0.28095238095238095,0.26,0.8150000000000001,72
Data_Sample04,Spectral_Dynamic_Graph,0.34,0.30931523378582204,0.3529761904761905,0.34,0.835,288
Data_Sample04,Graph,0.34,0.33348416289592764,0.3464285714285714,0.33999999999999997,0.8350000000000002,72
Data_Sample05,Full_MDRG,0.24,0.24015201046093493,0.25369075369075367,0.24,0.8099999999999999,1656
Data_Sample05,Riemannian_Graph,0.28,0.2735858585858586,0.27809523809523806,0.27999999999999997,0.8200000000000001,1440
Data_Sample05,Spectral_Dynamic_Riemannian,0.26,0.26970833656255655,0.28838827838827835,0.25999999999999995,0.8150000000000001,1584
Data_Sample05,Riemannian,0.26,0.2556493506493506,0.25575757575757574,0.26000000000000006,0.8150000000000001,1368
Data_Sample05,Static_Spectral,0.36,0.3450517598343685,0.34055944055944054,0.36,0.8400000000000001,144
Data_Sample05,Spectral_Dynamic,0.36,0.3617133743449533,0.367020202020202,0.36,0.8400000000000001,216
Data_Sample05,Dynamic,0.24,0.22303030303030305,0.215,0.24,0.8099999999999999,72
Data_Sample05,Spectral_Dynamic_Graph,0.34,0.3302167182662538,0.3295238095238095,0.34,0.835,288
Data_Sample05,Graph,0.24,0.2427128427128427,0.2492424242424242,0.24,0.8099999999999999,72
Data_Sample06,Full_MDRG,0.32,0.3099736864442747,0.3063852813852814,0.32,0.8300000000000001,1656
Data_Sample06,Riemannian_Graph,0.32,0.316390977443609,0.31353535353535356,0.31999999999999995,0.8299999999999998,1440
Data_Sample06,Spectral_Dynamic_Riemannian,0.3,0.2820526315789474,0.2755555555555556,0.3,0.825,1584
Data_Sample06,Riemannian,0.28,0.27734335839599,0.27535353535353535,0.28,0.8200000000000001,1368
Data_Sample06,Static_Spectral,0.24,0.2348511944823696,0.23331113331113335,0.24,0.8100000000000002,144
