subject,raw_arch,raw_seed,raw_epoch,raw_valid_f1,mdrg_block,mdrg_clf,mdrg_C,mdrg_valid_f1,fusion_w,fusion_valid_f1,graph_gamma,graph_k,graph_valid_f1,Raw EEG|accuracy,Raw EEG|macro_f1,Raw EEG|macro_precision,Raw EEG|macro_sensitivity,Raw EEG|macro_specificity,MDRG branch|accuracy,MDRG branch|macro_f1,MDRG branch|macro_precision,MDRG branch|macro_sensitivity,MDRG branch|macro_specificity,Proposed fusion|accuracy,Proposed fusion|macro_f1,Proposed fusion|macro_precision,Proposed fusion|macro_sensitivity,Proposed fusion|macro_specificity,Graph comparator|accuracy,Graph comparator|macro_f1,Graph comparator|macro_precision,Graph comparator|macro_sensitivity,Graph comparator|macro_specificity
Data_Sample01,EEGNetLite,0,22,0.4676470588235294,Spectral_Dynamic,LR,1.0,0.30378510378510376,0.9750000000000001,0.4977591036414566,1.0,20,0.3815535214848716,0.3,0.269563000638852,0.2846681096681096,0.3,0.825,0.36,0.3552368132607734,0.35923409923409927,0.36,0.8400000000000001,0.38,0.3655555555555556,0.38666666666666666,0.38,0.8450000000000001,0.32,0.3113722534775166,0.33888888888888885,0.31999999999999995,0.8299999999999998
Data_Sample02,EEGConformerLite,2,25,0.21916863400878744,Spectral_Dynamic,LR,1.0,0.29860666158148996,0.375,0.3187857464173253,0.25,10,0.2788808038808039,0.2,0.1947596263385737,0.20714285714285713,0.2,0.8,0.12,0.11625668449197861,0.11523809523809522,0.12000000000000002,0.78,0.12,0.11730931607092598,0.11746031746031745,0.12000000000000002,0.78,0.26,0.23175667927989912,0.2200746965452848,0.26,0.8150000000000001
Data_Sample03,EEGConformerLite,2,47,0.37154258194505874,Spectral_Dynamic,LR,0.1,0.38760233918128656,0.025,0.4372755417956656,0.5,10,0.3728982923867834,0.32,0.3137076648841355,0.32095238095238093,0.32,0.8299999999999998,0.36,0.35757575757575755,0.3654761904761905,0.36000000000000004,0.8400000000000001,0.36,0.35757575757575755,0.3654761904761905,0.36000000000000004,0.8400000000000001,0.32,0.29545410628019325,0.2882051282051282,0.32,0.8300000000000001
Data_Sample04,EEGNetLite,1,24,0.46996305768684277,Riemannian_Graph,LR,10.0,0.5516615067079462,0.8,0.5738495856008308,1.0,20,0.398989898989899,0.28,0.263191591017678,0.3001243201243201,0.28,0.82,0.32,0.26883753501400565,0.26796536796536796,0.32,0.8299999999999998,0.34,0.2899415204678363,0.26666666666666666,0.33999999999999997,0.8350000000000002,0.24,0.22762861259428763,0.24070387129210657,0.24000000000000005,0.8100000000000002
Data_Sample05,EEGNetLite,0,59,0.39441845721021923,Spectral_Dynamic,RBF_SVM,10.0,0.39714285714285713,0.6000000000000001,0.4191615402141718,1.0,20,0.38213067835829984,0.26,0.24132039719601978,0.23534798534798534,0.26000000000000006,0.8150000000000001,0.32,0.3054685395029155,0.3236994000151895,0.31999999999999995,0.8300000000000001,0.24,0.22044973544973545,0.21311942959001778,0.24000000000000005,0.8099999999999999,0.22,0.2197979797979798,0.22333333333333333,0.22000000000000003,0.805
Data_Sample06,EEGConformerLite,0,16,0.3597635392829901,Full_MDRG,RBF_SVM,10.0,0.2616450216450216,1.0,0.3597635392829901,1.0,10,0.3674603174603175,0.28,0.2581889506374632,0.2426906426906427,0.28,0.8200000000000001,0.32,0.26909462915601023,0.2367765567765568,0.32,0.8300000000000001,0.28,0.2581889506374632,0.2426906426906427,0.28,0.8200000000000001,0.2,0.19389135941457922,0.19492063492063488,0.2,0.8
Data_Sample07,EEGConformerLite,2,32,0.4195434287075154,Spectral_Dynamic,LR,1.0,0.2666178266178266,0.875,0.4211965811965811,0.25,10,0.415527950310559,0.26,0.2583066691762344,0.26736596736596735,0.26,0.8150000000000001,0.28,0.2764156768733428,0.2771950271950272,0.28,0.8200000000000001,0.28,0.2796543439510192,0.28701465201465204,0.28,0.82,0.28,0.265632183908046,0.28566188197767145,0.28,0.8200000000000001
Data_Sample08,EEGNetLite,0,20,0.4747141889085623,Spectral_Dynamic,RBF_SVM,1.0,0.3026098901098901,1.0,0.4747141889085623,0.25,10,0.3321479316364227,0.3,0.27332309634099916,0.3410017518713171,0.3,0.825,0.26,0.2055026455026455,0.17437908496732027,0.26,0.8149999999999998,0.3,0.27332309634099916,0.3410017518713171,0.3,0.825,0.38,0.3800956937799043,0.3822222222222222,0.38000000000000006,0.845
Data_Sample09,EEGConformerLite,2,46,0.4351648351648351,Full_MDRG,LR,0.01,0.36608187134502923,0.9,0.4351648351648351,0.25,20,0.39101782442112276,0.32,0.29934798534798535,0.3412121212121212,0.32,0.8299999999999998,0.26,0.24501831501831503,0.24553030303030304,0.26,0.8150000000000001,0.3,0.28068131868131874,0.32406926406926406,0.3,0.825,0.38,0.3382011847801321,0.3288888888888889,0.38,0.8450000000000001
Data_Sample10,EEGNetLite,2,8,0.4182072829131653,Riemannian,LR,0.01,0.28363581367211127,1.0,0.4182072829131653,0.25,20,0.29802968960863696,0.18,0.13510668563300143,0.11925925925925926,0.18,0.795,0.24,0.24517391304347824,0.27282051282051284,0.24000000000000005,0.8099999999999999,0.18,0.13510668563300143,0.11925925925925926,0.18,0.795,0.18,0.17782456140350875,0.18761904761904763,0.18000000000000002,0.795
