subject,method,accuracy,macro_f1,macro_precision,macro_sensitivity,macro_specificity
Data_Sample01,REVE_LinearProbe,0.38,0.3807407407407407,0.41382352941176476,0.38,0.845
Data_Sample01,REVE_LoRA,0.36,0.35938977879481315,0.3632051282051282,0.36000000000000004,0.8400000000000001
Data_Sample02,REVE_LinearProbe,0.22,0.1601201201201201,0.14185185185185184,0.21999999999999997,0.805
Data_Sample02,REVE_LoRA,0.2,0.1380952380952381,0.1152097902097902,0.2,0.7999999999999999
Data_Sample03,REVE_LinearProbe,0.3,0.29664311315924213,0.4376190476190477,0.3,0.825
Data_Sample03,REVE_LoRA,0.32,0.31434069043576685,0.35428571428571426,0.32,0.8300000000000001
Data_Sample04,REVE_LinearProbe,0.4,0.3985714285714286,0.4264935064935065,0.4,0.8499999999999999
Data_Sample04,REVE_LoRA,0.4,0.3962121212121212,0.4107142857142857,0.4,0.85
Data_Sample05,REVE_LinearProbe,0.38,0.36595737425404945,0.3786813186813187,0.38,0.845
Data_Sample05,REVE_LoRA,0.46,0.45233603786342125,0.4829699248120301,0.45999999999999996,0.865
Data_Sample06,REVE_LinearProbe,0.24,0.22169112174375333,0.2161111111111111,0.24000000000000005,0.8099999999999999
Data_Sample06,REVE_LoRA,0.22,0.21294643257760767,0.20967476967476967,0.22000000000000003,0.805
Data_Sample07,REVE_LinearProbe,0.3,0.24420168067226888,0.24085714285714283,0.3,0.825
Data_Sample07,REVE_LoRA,0.3,0.24420168067226888,0.24085714285714283,0.3,0.825
Data_Sample08,REVE_LinearProbe,0.28,0.256390977443609,0.24343434343434342,0.27999999999999997,0.82
Data_Sample08,REVE_LoRA,0.3,0.27301587301587305,0.258080808080808,0.3,0.825
Data_Sample09,REVE_LinearProbe,0.3,0.17687074829931973,0.1421911421911422,0.3,0.825
Data_Sample09,REVE_LoRA,0.3,0.17687074829931973,0.1421911421911422,0.3,0.825
Data_Sample10,REVE_LinearProbe,0.28,0.2144332525819202,0.17820512820512818,0.27999999999999997,0.8200000000000001
Data_Sample10,REVE_LoRA,0.28,0.2144332525819202,0.17820512820512818,0.27999999999999997,0.8200000000000001
Data_Sample11,REVE_LinearProbe,0.3,0.3035506413091552,0.3178860028860028,0.3,0.825
Data_Sample11,REVE_LoRA,0.28,0.28047959470869693,0.29396825396825393,0.27999999999999997,0.82
Data_Sample12,REVE_LinearProbe,0.34,0.31175213675213675,0.4795454545454545,0.34,0.835
Data_Sample12,REVE_LoRA,0.34,0.3244781783681214,0.4609523809523809,0.33999999999999997,0.835
Data_Sample13,REVE_LinearProbe,0.26,0.20910086557145383,0.2214021164021164,0.26,0.8150000000000001
Data_Sample13,REVE_LoRA,0.26,0.20910086557145383,0.2214021164021164,0.26,0.8150000000000001
Data_Sample14,REVE_LinearProbe,0.3,0.2754500401559225,0.2667748917748918,0.3,0.825
Data_Sample14,REVE_LoRA,0.32,0.3058090145148969,0.31177489177489176,0.32,0.8299999999999998
Data_Sample15,REVE_LinearProbe,0.38,0.3743467059256533,0.4291666666666666,0.38,0.845
Data_Sample15,REVE_LoRA,0.36,0.35702802460697197,0.3866666666666666,0.36,0.8400000000000001
